Category,#,Item,Priority,Status,Owner,Path to Close,Effort Estimate,Dependencies,Target Month,Notes
White Paper Issue,WP-14,Electronics-as-oxygen needs honest scoping,MEDIUM,Open,Revision,"Add one sentence: not every industrial operation needs local electronics, but reshoring/reindustrialization sectors disproportionately do — cite 28% reshoring figure.",10 minute edit,None,White paper revision pass,
White Paper Issue,WP-15,Clark name unexplained / author unnamed,MEDIUM,Open,Founder,"Etymology (Clark = Clerk) is in Section 1 of business case but not white paper or articles. Author must be named (see Critical #5).",10 minute edit + decision,Critical gap #5,White paper revision pass,
Risk,R-1,EPTAC competitive response,HIGH,Monitor,Founder,"EPTAC could replicate bench-level training in Hamilton directly. Mitigation: move first, establish presence. Clark's moat is four-pillar integration — EPTAC won't open assembly shop or run M&A advisory.",,EPTAC relationship (#1),Ongoing,
Risk,R-2,IPC dependency,HIGH,Monitor,Founder,"IPC certification is partnership, not proprietary. If EPTAC/IPC terminates, Pillar 1 certified-training collapses. Mitigation: grow Clark Courses (proprietary, no IPC dependency) as share of training revenue.",,Clark Course curriculum dev,Ongoing,
Risk,R-3,Quality degradation through scaling,MEDIUM,Monitor,Founder,"Train-the-trainer risks quality decay. Mitigation: Clarkware evidence discipline makes quality degradation visible in data before it shows in outcomes.",,Clarkware deployment,Ongoing,
Risk,R-4,Venture-scale tension,MEDIUM,Acknowledge,Founder,"At 5-10 centers Clark revenue is $300K-$640K — viable small business, not venture return. May be a self-funded services company with software layer. Not a failure.",,,Ongoing,Be honest about this.
Risk,R-5,Single-founder risk,HIGH,Monitor,Founder,"If founder incapacitated, operation stops. Mitigation: first hire should be operations coordinator who can run Pillar 1 independently.",,First revenue,Month 5-8,
Risk,R-6,Tariff regime change,MEDIUM,Monitor,N/A,"Tariff wall could lower with policy change. Mitigation: base training business has steady demand regardless. Tariffs are upside, not foundation.",,,Ongoing,
Risk,R-7,Foxconn Wisconsin precedent,MEDIUM,Acknowledge,Founder,"Any investor remembers Foxconn. Clark is different: $135K bench vs $10B factory, 12-month proof vs decade buildout, claims register publishes failures.",,,Ongoing,Have the answer ready.
Due Diligence,DD-1,Who is the founder?,CRITICAL,Unanswered,Founder,Name and relevant background,Decision,None,Month 1,
Due Diligence,DD-2,Legal entity structure?,CRITICAL,Unanswered,Founder + Legal,Ontario incorporation; Clark + NA structure,Legal counsel,None,Month 1-2,
Due Diligence,DD-3,Specific raise amount and terms?,CRITICAL,Unanswered,Founder,"Amount, instrument, valuation/cap, use of proceeds",Founder decision,Legal entity (#4),Before investor presentation,
Due Diligence,DD-4,Has any manufacturer expressed willingness to pay?,CRITICAL,No,Founder,Contact Artaflex / Opto-E / Evertz / Bosch Rexroth,Customer outreach,None,Month 1-4,
Due Diligence,DD-5,Has any facility owner expressed willingness to host?,CRITICAL,No,Founder,Site visits + conversations with Hamilton industrial landlords,Facility search (#2),None,Month 3-4,
Due Diligence,DD-6,IP ownership structure for Clarkware?,HIGH,Undefined,Founder + Legal,IP assignment agreement; define what Clark owns vs. open,Legal counsel,Legal entity (#4),Month 2-4,
Due Diligence,DD-7,IPC training authorization — signed agreement?,HIGH,No,Founder,EPTAC engagement; documented pathway,EPTAC meeting (#1),None,Month 1-2,
Due Diligence,DD-8,Quality control if anchor performance degrades?,MEDIUM,Undefined,Founder + Legal,"Quality standards clause in methodology license; remediation and termination provisions",Legal drafting,Legal entity (#4),Month 4-6,
Due Diligence,DD-9,Insurance requirements?,MEDIUM,Unquoted,Founder,Commercial insurance broker quotes for training + assembly operations,Broker outreach (#12),Facility type known,Month 3-4,
Due Diligence,DD-10,Has any counterweight-city partner been contacted?,HIGH,No,Founder,Field Report 002 — visit at least two candidate locations,Travel + research,Proof of concept at Hamilton,Month 9-12,
Sequence,S-1,Contact EPTAC,CRITICAL,Not Started,Founder,Define training authorization pathway,1-2 meetings,None,Month 1,
Sequence,S-2,Contact Artaflex,CRITICAL,Not Started,Founder,Propose Clarkware pilot and training partnership conversation,,None,Month 1,
Sequence,S-3,Contact Invest in Hamilton,HIGH,Not Started,Founder,"Introduce Clark, reference Action 42, request Bayfront site data",,None,Month 1,
Sequence,S-4,Incorporate Clark (Ontario),CRITICAL,Not Started,Founder + Legal,Ontario business incorporation,,None,Month 1-2,
Sequence,S-5,Name the founder in the document,CRITICAL,Not Started,Founder,Decision,,None,Month 1,
Sequence,S-6,Identify and visit 3-5 candidate spaces,HIGH,Not Started,Founder,Hamilton Bayfront industrial units,,Invest in Hamilton (#S-3),Month 3-4,
Sequence,S-7,Obtain insurance quotes,HIGH,Not Started,Founder,2-3 commercial brokers,,Facility type known (#S-6),Month 3-4,
Sequence,S-8,Obtain distributor terms for Pillar 4,MEDIUM,Not Started,Founder,Kester / Indium Corp / Techspray,,None,Month 3-4,
Sequence,S-9,Sign facility — lease or LOI,HIGH,Not Started,Founder,,,Site visits (#S-6),Month 4,
Sequence,S-10,Deliver first IPC training cohort,CRITICAL,Not Started,Founder + Instructor,First revenue event,,EPTAC (#S-1) + Facility (#S-9),Month 5,
Sequence,S-11,Complete first paid assembly job,HIGH,Not Started,Founder,Pillar 2 validation,,Facility (#S-9) + Customer (#S-2),Month 5-8,
Sequence,S-12,Publish Field Report 001 (Hamilton),HIGH,Not Started,Founder,Evidence layer proof,,None,Month 5-8,
Sequence,S-13,Deploy Clarkware pilot,HIGH,Not Started,Founder + Dev,"One bench, one instrument, real captured evidence",,Facility (#S-9),Month 5-8,
Sequence,S-14,Field Report 002 — counterweight site visit,HIGH,Not Started,Founder,Buffalo or St. Catharines-Welland,,Hamilton proof of concept,Month 9-12,
Sequence,S-15,Second and third training cohorts,HIGH,Not Started,Founder + Instructor,Prove repeatability,,First cohort (#S-10),Month 6-12,
Sequence,S-16,Institutional partnership — Mohawk or Niagara College,MEDIUM,Not Started,Founder,Co-delivery or student referral agreement,,Institutional engagement (#11),Month 9-12,
Sequence,S-17,Identify first M&A candidate,MEDIUM,Not Started,Founder,"Intelligence only — owner engaged, valuation understood, integration sketched",,Pillar 1+2 relationships,Month 9-12,
Sequence,S-18,Launch or confirm second center location,HIGH,Not Started,Founder,Counterweight decision,,Field Report 002 (#S-14),Month 13-18,
Sequence,S-19,6 consecutive months training break-even at NA,CRITICAL,Not Started,Founder,Proof bar item,,Ongoing training (#S-15),Month 13-18,
Sequence,S-20,Clarkware pilot assessment,HIGH,Not Started,Founder + Dev,Does it deliver operational value?,,Pilot running (#S-13),Month 13-18,
Sequence,S-21,Publish 24-month evidence stack,CRITICAL,Not Started,Founder,Test against Section 3 + Section 4 proof bars,,All prior items,Month 24,
